ID,Drug1_Name,Drug1_CID,Drug1_DBID,Drug2_Name,Drug2_CID,Drug2_DBID,Y_Score,Risk_Label,NegSample,Chem_Sim,Same_Enzyme,SideEffect_Sim,Shared_Targets,ATC_Similarity
2138,Lidocaine,CID293674,DB75546,Flecainide,CID508665,DB25546,609,High,No,0.24,1,0.74,9,0.71
2139,Lovastatin,CID32774,DB93337,Carbamazepine,CID602351,DB48862,646,High,No,0.67,1,0.19,9,0.05
2140,Aripiprazole,CID254043,DB31942,Mometasone,CID295413,DB64021,335,Moderate,No,0.99,0,0.28,5,0.08
2141,Benazepril,CID90180,DB30525,Albuterol; Ipratropium,CID894269,DB48889,23,Safe,Yes,0.44,0,0.01,8,0.47
2142,Dextroamphetamine,CID853131,DB94305,Albuterol; Ipratropium,CID342358,DB46547,315,Moderate,No,0.96,0,0.64,8,0.04
2143,Chlorhexidine,CID489557,DB67528,Dorzolamide,CID817649,DB18839,365,Moderate,No,0.84,0,0.01,8,0.16
2144,Tirzepatide,CID691150,DB36260,Acetaminophen; Codeine,CID93601,DB35229,485,Moderate,No,0.05,1,0.54,8,0.14
2145,Lisinopril,CID114409,DB92871,Sulfamethoxazole; Trimethoprim,CID167245,DB56721,711,High,No,0.84,0,1,0,0.95
2146,Lamotrigine,CID527401,DB32857,Ipratropium,CID987919,DB41746,667,High,No,0.92,1,0.36,6,0.46
2147,Lactate,CID293301,DB76301,Evolocumab,CID640797,DB18477,25,Safe,Yes,0.17,1,0.57,0,0.4
2148,Warfarin,CID457807,DB11255,Donepezil,CID957926,DB69670,735,High,No,0.43,1,0.75,4,0.44
2149,Brompheniramine; Dextromethorphan; Pseudoephedrine,CID675408,DB53107,Insulin Lispro,CID709735,DB48620,770,High,No,0.78,0,0.06,6,0.5
2150,Albuterol; Ipratropium,CID313355,DB47091,Hydrocortisone,CID916511,DB10076,182,Low,No,0.61,1,0.25,8,0.02
2151,Hydrochlorothiazide; Lisinopril,CID715638,DB29309,Simvastatin,CID367469,DB89755,539,High,No,0.08,1,0.52,1,0.3
2152,Nitrofurantoin,CID912952,DB28762,Nirmatrelvir; Ritonavir,CID921763,DB16328,681,High,No,0.67,0,0.59,10,0.97
2153,Fenofibrate,CID572354,DB65377,Brompheniramine; Dextromethorphan; Pseudoephedrine,CID466649,DB49748,475,Moderate,No,0.19,1,0.47,5,0.62
2154,Sodium Salts,CID29221,DB94225,Hydroxychloroquine,CID705230,DB75106,517,High,No,0.7,1,0.65,8,0.52
2155,Buspirone,CID543556,DB30788,Epinephrine,CID71936,DB20030,257,Moderate,No,0.54,0,0.99,6,0.37
2156,Nystatin,CID616569,DB32316,Desvenlafaxine,CID462618,DB98306,515,High,No,0.3,0,0.04,7,0.91
2157,Sitagliptin,CID964576,DB62695,Rosuvastatin,CID734775,DB94898,648,High,No,0.88,0,0.03,7,0.07
2158,Labetalol,CID822916,DB61767,Dexamethasone; Neomycin; Polymyxin B,CID564399,DB81681,65,Low,No,0.96,1,0.49,0,0.76
2159,Fluticasone; Salmeterol,CID485591,DB87320,Sumatriptan,CID643305,DB42885,531,High,No,0.4,1,0.78,5,0.98
2160,Erythromycin,CID963485,DB92791,Hydroquinone,CID498072,DB44393,85,Low,No,0.78,0,0.59,2,0.67
2161,Lorazepam,CID281366,DB63165,Sulfamethoxazole; Trimethoprim,CID111050,DB72770,441,Moderate,No,0.85,0,0.47,5,0.05
2162,Diltiazem,CID280692,DB62334,Prednisone,CID163315,DB57331,605,High,No,0.06,1,0.57,10,0.18
2163,Brimonidine,CID432979,DB45903,Atenolol,CID649298,DB62658,91,Low,No,0.97,1,0.52,6,0.14
2164,Diclofenac,CID80012,DB98376,Rivaroxaban,CID945360,DB32877,327,Moderate,No,0.22,1,0.16,3,0.07
2165,Acetaminophen; Codeine,CID828915,DB59069,Levetiracetam,CID937153,DB33436,636,High,No,0.11,0,0.84,8,0.77
2166,Ondansetron,CID332573,DB38408,Hydroxyzine,CID46182,DB75697,39,Safe,Yes,0.74,1,0.24,9,0.49
2167,Fluticasone; Umeclidinium; Vilanterol,CID324540,DB21939,Colchicine,CID108806,DB19300,799,High,No,0,0,0.2,0,0.77
2168,Ethinyl Estradiol; Etonogestrel,CID275319,DB38885,Valsartan,CID889289,DB62493,740,High,No,0.26,1,0.35,2,0.32
2169,Guaifenesin,CID869346,DB73565,Liothyronine,CID379621,DB69111,50,Safe,Yes,0.07,0,0.36,5,0.83
2170,Oxycodone,CID46639,DB36794,Acetaminophen,CID953268,DB67863,707,High,No,0.91,1,0.29,6,0.19
2171,Phentermine,CID182377,DB67548,Risperidone,CID258770,DB68120,85,Low,No,0.63,0,0.11,4,0.32
2172,Nifedipine,CID710938,DB87202,Insulin Detemir,CID347668,DB77038,202,Moderate,No,0.59,1,0.55,4,0.09
2173,Mometasone,CID550933,DB52211,Tizanidine,CID748739,DB54552,256,Moderate,No,0.7,1,0.81,4,0.55
2174,Carbamazepine,CID9715,DB91165,Erythromycin,CID642682,DB53663,130,Low,No,0.92,0,0.55,0,0.54
2175,Liothyronine,CID74244,DB80955,Insulin Detemir,CID273561,DB77855,109,Low,No,0.28,1,0.14,2,0.32
2176,Donepezil,CID997490,DB33901,Dextroamphetamine,CID504140,DB71971,756,High,No,0.88,1,0.57,0,0.45
2177,Lidocaine,CID799694,DB92956,Amlodipine,CID327422,DB97692,174,Low,No,0.24,0,0.94,3,0.54
2178,Senna; Docusate,CID44501,DB46659,Insulin Degludec,CID861254,DB13607,202,Moderate,No,0.71,0,0.95,5,0.57
2179,Cephalexin,CID302687,DB22207,Acetaminophen; Codeine,CID751825,DB10899,255,Moderate,No,0.71,1,0.54,9,0.3
2180,Solifenacin,CID761418,DB80206,Doxepin,CID340907,DB30276,329,Moderate,No,0.63,0,0.11,9,0.5
2181,Ascorbic Acid,CID451185,DB27177,Ciclopirox,CID708016,DB37115,588,High,No,0.53,0,0.33,5,0.37
2182,Melatonin,CID98889,DB59256,Cetirizine,CID136107,DB52133,488,Moderate,No,0.6,0,0.46,1,0.54
2183,Rizatriptan,CID501726,DB69591,Loperamide,CID338712,DB68959,199,Low,No,0.95,0,0.49,6,0.38
2184,Cefdinir,CID618926,DB21462,Calcium,CID164808,DB65666,494,Moderate,No,0.15,0,0.6,8,0.8
2185,Calcium,CID661832,DB35907,Prednisolone,CID369793,DB46686,683,High,No,0.77,1,0.3,4,0.3
2186,Metformin,CID76007,DB73559,Pseudoephedrine,CID92706,DB10741,659,High,No,0.58,0,0.14,9,0.72
2187,Nortriptyline,CID182556,DB49516,Melatonin,CID432270,DB73504,208,Moderate,No,0.02,1,0.3,7,0.63
2188,Acetaminophen,CID141179,DB85320,Trazodone,CID265040,DB72018,654,High,No,0.8,1,0.82,8,0.98
2189,Ethinyl Estradiol; Etonogestrel,CID432453,DB72467,Nitrofurantoin,CID395796,DB43859,8,Safe,Yes,0.49,1,0.67,1,0.06
2190,Clonidine,CID451019,DB58475,Progesterone,CID170645,DB39731,8,Safe,Yes,0.04,1,0.63,4,0.24
2191,Calcium,CID810288,DB92211,Hydroxyzine,CID309597,DB99513,210,Moderate,No,0.95,0,0.7,8,0.33
2192,Alprazolam,CID93826,DB61567,Ropinirole,CID10601,DB35024,361,Moderate,No,0.44,0,0.81,4,0.37
2193,Lactulose,CID879978,DB63446,Phentermine,CID952830,DB52767,760,High,No,0.51,1,0.69,7,0.03
2194,Bupropion,CID649213,DB98386,Prednisone,CID308554,DB62793,569,High,No,0.27,1,0.63,3,0.17
2195,Lactobacillus Acidophilus,CID38362,DB17291,Diltiazem,CID262570,DB48512,751,High,No,0.66,0,0.76,0,0.43
2196,Sitagliptin,CID188705,DB74999,Terazosin,CID236406,DB58338,658,High,No,0.82,0,0.67,2,0.88
2197,Sacubitril; Valsartan,CID462686,DB91649,Norethindrone,CID919094,DB12960,20,Safe,Yes,0.46,1,0.55,9,0.86
2198,Sitagliptin,CID330085,DB25143,Acetaminophen,CID931978,DB44843,720,High,No,0.63,1,0.47,4,0.01
2199,Betamethasone,CID273414,DB67260,Citalopram,CID816651,DB82086,122,Low,No,0.36,0,0.8,3,0.81
2200,Fenofibrate,CID154349,DB63320,Budesonide; Formoterol,CID646282,DB18845,252,Moderate,No,0.02,0,0.32,2,0.38
2201,Penicillin V,CID525677,DB31677,Nystatin,CID173468,DB12300,445,Moderate,No,0.71,0,0.86,9,0.05
2202,Isosorbide,CID173737,DB97166,Metoclopramide,CID452605,DB83330,452,Moderate,No,0.99,1,0.58,10,0.92
2203,Fenofibrate,CID611260,DB22910,Paroxetine,CID314853,DB72427,701,High,No,0.39,1,0.99,8,0.42
2204,Bisoprolol,CID580242,DB63521,Pramipexole,CID786980,DB62638,605,High,No,0.41,0,0.79,9,0.82
2205,Alendronate,CID380043,DB45912,Nystatin,CID236177,DB49492,402,Moderate,No,0.98,0,0.46,9,0.78
2206,Acetaminophen,CID801533,DB58075,Nebivolol,CID993809,DB81615,508,High,No,0.61,1,0.14,6,0.58
2207,Phentermine,CID498699,DB31726,Senna; Docusate,CID682205,DB78146,545,High,No,0.38,1,0.97,9,0.7
2208,Fluticasone,CID828521,DB93033,Dextromethorphan; Promethazine,CID822784,DB11738,734,High,No,0.74,0,0.73,8,0.66
2209,Pantoprazole,CID436008,DB95149,Sucralfate,CID521648,DB65538,667,High,No,0.25,1,0.44,7,0.2
2210,Calcitriol,CID436094,DB91876,Diclofenac,CID452438,DB48286,799,High,No,0.84,1,0.89,6,0.82
2211,Ciclopirox,CID37255,DB18864,Ezetimibe,CID475200,DB70229,276,Moderate,No,0.56,0,0.97,1,0.93
2212,Indomethacin,CID318839,DB95862,Tizanidine,CID244292,DB45230,297,Moderate,No,0.23,1,0.32,9,0.98
2213,Solifenacin,CID673875,DB71704,Metoclopramide,CID887489,DB41797,443,Moderate,No,0.62,1,0.15,9,0.43
2214,Methylphenidate,CID956939,DB65788,Escitalopram,CID44109,DB73949,585,High,No,0.35,0,0.31,1,0.73
2215,Celecoxib,CID92791,DB17020,Rosuvastatin,CID783182,DB70840,617,High,No,0.01,0,0.07,2,0.38
2216,Omeprazole,CID352484,DB72555,Donepezil,CID533553,DB68397,220,Moderate,No,0.95,0,0.11,2,0.45
2217,Lactulose,CID508623,DB49593,Epinephrine,CID164371,DB93093,131,Low,No,0.78,0,0.11,8,0.76
2218,Escitalopram,CID421130,DB51345,Rosuvastatin,CID87246,DB28250,496,Moderate,No,0.47,1,0.26,4,0.28
2219,Hydrochlorothiazide; Lisinopril,CID95243,DB82097,Cyclobenzaprine,CID376401,DB83173,769,High,No,0.75,0,0.64,9,0.83
2220,Diphenhydramine,CID488898,DB43416,Benazepril,CID583881,DB11054,165,Low,No,0.74,0,0.05,4,0.53
2221,Risperidone,CID477219,DB97076,Clindamycin,CID763116,DB61554,142,Low,No,0.95,1,0.4,10,0.08
2222,Insulin Lispro,CID159187,DB32473,Lithium,CID538790,DB23647,672,High,No,0.7,0,0.68,10,0.31
2223,Dorzolamide,CID262735,DB21371,Glimepiride,CID90648,DB43686,723,High,No,0.11,0,0.4,0,0.53
2224,Chlorhexidine,CID563601,DB46357,Rizatriptan,CID350197,DB54554,388,Moderate,No,0.95,0,0.83,3,0.48
2225,Amitriptyline,CID475481,DB85405,Levocetirizine,CID51195,DB79584,168,Low,No,0.66,1,0.93,4,0.21
2226,Dorzolamide; Timolol,CID103323,DB53300,Labetalol,CID478365,DB68951,441,Moderate,No,0.74,0,0.48,5,0.59
2227,Lamotrigine,CID535307,DB84733,Fluconazole,CID194951,DB22832,112,Low,No,0.92,1,0.21,3,0.84
2228,Ketotifen,CID440948,DB80900,Oxybutynin,CID308711,DB67204,396,Moderate,No,0.34,1,0.1,7,0.82
2229,Ascorbic Acid,CID323910,DB73509,Fenofibrate,CID366558,DB64751,612,High,No,0.27,1,0.5,1,0.62
2230,Pregabalin,CID648513,DB78506,Aspirin,CID374158,DB33526,181,Low,No,0.29,0,0.28,1,0.35
2231,Ascorbic Acid,CID875893,DB83366,Rimegepant,CID513834,DB97107,119,Low,No,0.55,1,0.35,0,0.14
2232,Progesterone,CID301525,DB95713,Oseltamivir,CID869751,DB17250,504,High,No,0.59,1,0.25,8,0.67
2233,Esomeprazole,CID69989,DB63461,Ropinirole,CID621949,DB42494,743,High,No,0.17,0,0.77,7,0.95
2234,Ketoconazole,CID784244,DB10400,Etodolac,CID802255,DB12784,266,Moderate,No,0.11,1,0.11,5,0.45
2235,Ondansetron,CID431568,DB43457,Metronidazole,CID501932,DB95169,429,Moderate,No,0.18,1,0.42,5,0.25
2236,Labetalol,CID452840,DB13232,Ergocalciferol,CID154969,DB50778,397,Moderate,No,0.98,1,0.31,9,0.35
2237,Thyroid,CID656965,DB39178,Olmesartan,CID971778,DB32134,515,High,No,0.57,0,0.73,2,0.34
2238,Quetiapine,CID837087,DB22475,Fluorouracil,CID651635,DB53843,120,Low,No,0.86,0,0.71,4,0.18
2239,Aripiprazole,CID139299,DB95824,Emtricitabine; Tenofovir,CID531266,DB17024,499,Moderate,No,0.6,1,0.77,1,0.44
2240,Hydroxyzine,CID502568,DB30909,Ethinyl Estradiol; Levonorgestrel,CID776091,DB11595,193,Low,No,0.79,0,0.16,4,0.58
2241,Empagliflozin,CID680099,DB44295,Fluticasone; Salmeterol,CID804333,DB32474,207,Moderate,No,0.39,1,0.6,9,0.09
2242,Nifedipine,CID403361,DB54373,Melatonin,CID372893,DB52561,672,High,No,0.66,0,0.38,5,0.55
2243,Erythromycin,CID123252,DB92201,Amoxicillin; Clavulanate,CID391950,DB72625,774,High,No,0.61,0,0.44,9,0.73
2244,Clonidine,CID619857,DB35114,Hydroquinone,CID581591,DB85814,182,Low,No,0.85,0,0.66,7,0.66
2245,Allopurinol,CID509217,DB56166,Insulin Human; Insulin Isophane Human,CID317947,DB93330,758,High,No,0.59,0,0.46,7,0.71
2246,Azelastine,CID313135,DB12091,Promethazine,CID64128,DB14521,107,Low,No,0.22,1,0.1,9,0.1
2247,Insulin Human; Insulin Isophane Human,CID132338,DB19545,Fluoxetine,CID314442,DB68942,490,Moderate,No,0.13,0,0.91,9,0.45
2248,Ethinyl Estradiol; Levonorgestrel,CID928815,DB19076,Hydrocortisone,CID441058,DB90432,437,Moderate,No,0.65,1,0.99,10,0.6
2249,Lidocaine,CID256833,DB48483,Oxybutynin,CID792024,DB77169,247,Moderate,No,0.08,1,0.85,9,0.68
2250,Amlodipine,CID887208,DB31069,Acetaminophen; Codeine,CID259737,DB29759,17,Safe,Yes,0.87,1,0.17,1,0.64
2251,Cyproheptadine,CID80594,DB36923,Cholecalciferol,CID401362,DB38459,253,Moderate,No,0.8,1,0.2,6,0.12
2252,Ramipril,CID921289,DB51181,Lamotrigine,CID470620,DB96727,89,Low,No,0.02,1,0.73,5,0.52
2253,Amlodipine,CID286716,DB61036,Lactobacillus Acidophilus,CID981163,DB70166,345,Moderate,No,0.57,1,0.1,2,0.68
2254,Metformin,CID258606,DB50970,Niacin,CID375768,DB74443,33,Safe,Yes,0.34,0,0.39,4,0.13
2255,Ascorbic Acid,CID2317,DB90502,Fluticasone,CID968891,DB69477,246,Moderate,No,0.95,1,0.09,6,0.51
2256,Topiramate,CID879960,DB47899,Azelastine,CID407652,DB31496,403,Moderate,No,0.42,0,0.46,0,0.58
2257,Empagliflozin,CID370181,DB15247,Prednisone,CID122753,DB44224,404,Moderate,No,0.96,0,0.99,1,0.07
2258,Epinephrine,CID397272,DB89573,Amlodipine,CID818745,DB62463,684,High,No,0.59,0,0.13,8,0.85
2259,Allopurinol,CID917018,DB69425,Ropinirole,CID364887,DB82361,582,High,No,0.17,0,0.46,3,0.83
2260,Bupropion,CID752942,DB31316,Loratadine,CID961507,DB71417,618,High,No,0.5,1,0.18,7,0.03
2261,Methimazole,CID898236,DB27329,Baclofen,CID268544,DB71260,289,Moderate,No,0.15,1,0.83,2,0.03
2262,Olopatadine,CID487669,DB25359,Hydrochlorothiazide; Losartan,CID305806,DB34058,489,Moderate,No,0.67,1,0.21,3,0.55
2263,Acetaminophen,CID52742,DB24072,Sitagliptin,CID652352,DB81238,569,High,No,0.34,1,0.41,6,0.81
2264,Insulin Human; Insulin Isophane Human,CID709723,DB45117,Adalimumab,CID578703,DB84140,179,Low,No,0.12,1,0.87,9,0.8
2265,Sacubitril; Valsartan,CID686822,DB13639,Dexamethasone; Neomycin; Polymyxin B,CID563431,DB57293,738,High,No,0.2,0,0.02,2,0.19
2266,Esomeprazole,CID191605,DB79277,Amlodipine,CID675299,DB16922,188,Low,No,0.6,1,0.21,0,0.85
2267,Lorazepam,CID576148,DB59088,Hydrochlorothiazide; Triamterene,CID545951,DB55097,152,Low,No,0.94,0,0.82,2,0.49
2268,Pancrelipase Amylase; Pancrelipase Lipase; Pancrelipase Protease,CID457379,DB47401,Pseudoephedrine,CID939659,DB56619,209,Moderate,No,0.71,1,0.97,4,0.27
2269,Clopidogrel,CID487048,DB46807,Rivaroxaban,CID546788,DB35223,481,Moderate,No,0.41,0,0.62,4,0.98
2270,Polymyxin B; Trimethoprim,CID200941,DB38216,Ketotifen,CID732911,DB27523,83,Low,No,0.03,1,0.5,6,0.29
2271,Morphine,CID147219,DB84876,Polymyxin B; Trimethoprim,CID62039,DB81794,797,High,No,0.37,0,0.7,6,0.05
2272,Bupropion,CID508447,DB97113,Etodolac,CID29444,DB11689,755,High,No,0.76,1,0.38,4,0.18
2273,Fluticasone,CID861489,DB56744,Nifedipine,CID756218,DB25459,64,Low,No,0.74,1,0.04,8,0.29
2274,Fluticasone,CID431303,DB84342,Lidocaine,CID613301,DB60971,465,Moderate,No,0.21,0,0.62,1,0.56
2275,Albuterol,CID760002,DB93772,Acyclovir,CID561163,DB14792,311,Moderate,No,0.31,1,0.36,6,0.13
2276,Liraglutide,CID125240,DB40076,Azithromycin,CID557940,DB93562,756,High,No,0.93,0,0.64,3,0.77
2277,Carvedilol,CID490794,DB56667,Bimatoprost,CID448342,DB56305,412,Moderate,No,0.49,0,0.05,5,0.13
2278,Nortriptyline,CID405733,DB12445,Topiramate,CID68815,DB23352,9,Safe,Yes,0.79,0,0.7,7,0.29
2279,Colchicine,CID784049,DB62876,Cyclobenzaprine,CID685394,DB48282,299,Moderate,No,0.08,0,0.82,7,0.69
2280,Acyclovir,CID429812,DB58348,Tretinoin,CID729458,DB42458,190,Low,No,0.01,0,0.51,6,0.25
2281,Cefuroxime,CID62505,DB38731,Ramipril,CID677733,DB56564,527,High,No,0.21,0,0.92,0,0.71
2282,Doxepin,CID355189,DB28467,Potassium Chloride,CID654520,DB38802,363,Moderate,No,0.8,1,0.7,10,0.65
2283,Terazosin,CID837501,DB89459,Betamethasone,CID621197,DB29726,720,High,No,0.4,0,0.17,0,0.72
2284,Amlodipine; Benazepril,CID66149,DB91141,Promethazine,CID283272,DB68126,468,Moderate,No,0.12,0,0.67,5,0.21
2285,Rimegepant,CID111673,DB23283,Sulfamethoxazole; Trimethoprim,CID746994,DB21702,142,Low,No,0.45,1,0.78,4,0.53
2286,Olopatadine,CID599954,DB92628,Riboflavin,CID892116,DB32032,379,Moderate,No,0.93,0,0.46,3,0.32
2287,Famotidine,CID105445,DB98738,Methimazole,CID126932,DB46510,320,Moderate,No,0.15,0,0.23,10,0.42
2288,Linagliptin,CID52987,DB67405,Nystatin,CID886335,DB56456,780,High,No,0.24,0,0.45,4,0.38
2289,Levofloxacin,CID387817,DB12798,Carvedilol,CID748397,DB74109,750,High,No,0.83,1,0.65,7,0.86
2290,Amoxicillin; Clavulanate,CID966235,DB86057,Apixaban,CID484449,DB64493,367,Moderate,No,0.64,0,0.97,1,0.74
2291,Amitriptyline,CID805743,DB24775,Alendronate,CID245471,DB14654,722,High,No,0.85,0,0.71,5,0.21
2292,Penicillin V,CID45045,DB92241,Liothyronine,CID665180,DB43102,143,Low,No,0.74,0,0.77,8,0
2293,Torsemide,CID614504,DB83389,Triamcinolone,CID820495,DB92172,584,High,No,0.15,0,0.51,4,0.53
2294,Buspirone,CID12891,DB84584,Levetiracetam,CID106317,DB86226,388,Moderate,No,0.9,0,0.11,2,0.76
2295,Rizatriptan,CID854898,DB40083,Levocetirizine,CID532906,DB63820,176,Low,No,0.87,1,0.11,2,0.23
2296,Nystatin,CID804287,DB49490,Venlafaxine,CID96190,DB79171,115,Low,No,0,1,0.77,8,0.81
2297,Hydroxychloroquine,CID62848,DB67931,Rosuvastatin,CID223154,DB55799,708,High,No,0.62,0,0.14,4,0.17
2298,Prednisone,CID758207,DB57177,Epinephrine,CID283679,DB25829,628,High,No,0.82,1,0.53,4,0.19
2299,Losartan,CID211221,DB79935,Terazosin,CID60553,DB31048,305,Moderate,No,0.7,1,0.78,1,0.42
2300,Diazepam,CID872220,DB45691,Dorzolamide,CID853809,DB16023,745,High,No,0.58,0,0.31,8,0.68
2301,Omeprazole,CID757136,DB49738,Phentermine,CID271250,DB80906,342,Moderate,No,0.05,0,0.09,7,0.48
2302,Tirzepatide,CID140783,DB53734,Penicillin V,CID935627,DB39182,263,Moderate,No,0.87,1,0.47,6,0.8
2303,Indomethacin,CID996726,DB68949,Pseudoephedrine,CID523340,DB69602,460,Moderate,No,0.98,0,0.44,5,0.25
2304,Vitamin E,CID641818,DB60481,Acyclovir,CID937396,DB32084,275,Moderate,No,0.35,1,0.35,6,0.71
2305,Ondansetron,CID348037,DB45367,Allopurinol,CID650154,DB17110,439,Moderate,No,0.17,1,0.32,0,0.21
2306,Betamethasone,CID373600,DB50981,Propranolol,CID708393,DB92518,753,High,No,0.95,0,0.2,5,0.61
2307,Cyclobenzaprine,CID960853,DB89775,Atropine; Diphenoxylate,CID6832,DB13405,221,Moderate,No,0.87,0,0.51,8,0.75
2308,Mesalamine,CID484077,DB79047,Acetaminophen,CID198218,DB67240,121,Low,No,0.62,1,0.09,3,0.81
2309,Alprazolam,CID157624,DB61856,Dextroamphetamine,CID13654,DB26660,766,High,No,0.1,1,0.72,8,0.44
2310,Cyanocobalamin,CID791829,DB10978,Losartan,CID411686,DB84464,343,Moderate,No,0.84,0,0.67,2,0.96
2311,Dexamethasone; Neomycin; Polymyxin B,CID274026,DB89428,Clotrimazole,CID595824,DB83821,745,High,No,0.16,0,0.42,2,0.17
2312,Dextromethorphan; Promethazine,CID861843,DB27074,Donepezil,CID963063,DB17469,768,High,No,0.6,1,0.05,4,0.66
2313,Donepezil,CID617654,DB81123,Loperamide,CID147990,DB97096,456,Moderate,No,0.47,1,0.6,7,0.67
2314,Apixaban,CID741388,DB25986,Fexofenadine,CID144341,DB28304,556,High,No,0.45,1,0.67,3,0.7
2315,Fluticasone; Umeclidinium; Vilanterol,CID733883,DB75509,Levocetirizine,CID76360,DB93584,79,Low,No,0.42,0,0.46,2,0.37
2316,Liothyronine,CID554229,DB58168,Nystatin,CID79335,DB11747,151,Low,No,0.73,0,0.96,0,0.98
2317,Escitalopram,CID54773,DB57601,Chlorthalidone,CID686702,DB79248,165,Low,No,0.28,1,0.68,8,0.17
2318,Ethinyl Estradiol; Norelgestromin,CID254198,DB79246,Torsemide,CID784448,DB86501,270,Moderate,No,0.27,1,0.87,1,0.2
2319,Polyethylene Glycol 3350,CID192292,DB37296,Tobramycin,CID358227,DB34342,763,High,No,0.71,1,0.13,7,0.94
2320,Azelastine,CID110603,DB63879,Lamotrigine,CID773939,DB77529,426,Moderate,No,0.83,0,0.38,2,0.86
2321,Fluticasone; Umeclidinium; Vilanterol,CID511666,DB30772,Pravastatin,CID263297,DB23306,252,Moderate,No,0.26,1,0.01,0,0.25
2322,Dutasteride,CID341871,DB23919,Fluorouracil,CID360665,DB99209,434,Moderate,No,0.33,0,0.34,10,0.64
2323,Methylprednisolone,CID640298,DB57228,Pramipexole,CID329880,DB30480,165,Low,No,0.99,1,0.76,4,0.82
2324,Nabumetone,CID461976,DB63874,Dutasteride,CID21977,DB25802,37,Safe,Yes,0.84,1,0.96,6,0.49
2325,Azelastine,CID765696,DB76268,Desogestrel; Ethinyl Estradiol,CID263545,DB85016,738,High,No,0.18,1,0.26,7,0.39
2326,Codeine; Guaifenesin,CID146845,DB60922,Promethazine,CID409527,DB95457,654,High,No,0.23,0,0.47,6,0.13
2327,Primidone,CID576703,DB58076,Ramipril,CID435355,DB11764,373,Moderate,No,0.89,0,0.15,0,0.45
2328,Dextroamphetamine,CID1564,DB20639,Tirzepatide,CID711602,DB18341,30,Safe,Yes,0.35,1,0.2,1,0.01
2329,Apixaban,CID619711,DB40617,Sitagliptin,CID135032,DB33930,152,Low,No,0.01,1,0.47,5,0.97
2330,Epinephrine,CID458473,DB11550,Latanoprost,CID546919,DB96700,783,High,No,0.11,1,0.33,8,0.36
2331,Dulaglutide,CID553244,DB65990,Nabumetone,CID585879,DB13890,476,Moderate,No,0.07,1,0.52,2,0.6
2332,Phentermine,CID694048,DB40630,Brimonidine,CID648809,DB22940,729,High,No,0.94,0,0.02,2,0.73
2333,Insulin Glargine,CID502230,DB13936,Clonazepam,CID129479,DB43434,681,High,No,0.97,0,0.96,0,0.15
2334,Lithium,CID205215,DB87866,Testosterone,CID391309,DB40784,734,High,No,0.57,1,0.59,9,0.5
2335,Methylphenidate,CID758998,DB99290,Doxepin,CID292148,DB33981,342,Moderate,No,0.81,0,0.2,7,0.49
2336,Clobetasol,CID395811,DB19726,Cetirizine,CID158606,DB74729,305,Moderate,No,0.68,0,0.85,4,0.01
2337,Ethinyl Estradiol; Norethindrone,CID666063,DB60640,Pioglitazone,CID517971,DB39950,443,Moderate,No,0.62,1,0.12,4,0.11
2338,Morphine,CID146914,DB37003,Lithium,CID894134,DB98310,222,Moderate,No,0.18,0,0.74,2,0.12
2339,Penicillin V,CID17449,DB21856,Lamotrigine,CID632332,DB93104,749,High,No,0.13,1,0.02,10,0.53
2340,Fluticasone; Vilanterol,CID461941,DB98761,Cyclosporine,CID427711,DB71852,309,Moderate,No,0.85,1,0.29,7,0.57
2341,Isosorbide,CID561188,DB41641,Clobetasol,CID425509,DB50384,188,Low,No,0.49,1,0.68,7,0.45
2342,Pancrelipase Amylase; Pancrelipase Lipase; Pancrelipase Protease,CID811146,DB80412,Polyethylene Glycol 3350,CID934739,DB45550,451,Moderate,No,0.35,1,0.02,6,0.34
2343,Budesonide; Formoterol,CID151670,DB68788,Tamsulosin,CID892525,DB78628,300,Moderate,No,0.82,0,0.41,6,0.51
2344,Acetaminophen,CID792454,DB45075,Topiramate,CID481280,DB77986,444,Moderate,No,0.57,0,0.26,0,0
2345,Nebivolol,CID291938,DB84006,Fluticasone; Umeclidinium; Vilanterol,CID3509,DB71258,506,High,No,0.21,1,0.3,8,0.31
2346,Topiramate,CID675632,DB37884,Pancrelipase Amylase; Pancrelipase Lipase; Pancrelipase Protease,CID100452,DB69100,747,High,No,0.88,1,0.31,6,0.82
2347,Methylphenidate,CID406905,DB16451,Linaclotide,CID866435,DB63757,96,Low,No,0.91,0,0.62,6,0.63
2348,Drospirenone; Ethinyl Estradiol,CID179478,DB42777,Solifenacin,CID929368,DB18375,201,Moderate,No,0.58,1,0.93,3,0.47
2349,Hydralazine,CID558867,DB95824,Pseudoephedrine,CID283514,DB23409,185,Low,No,0.36,0,0.23,6,0.1
2350,Rimegepant,CID132365,DB22064,Liothyronine,CID178695,DB86660,662,High,No,0.61,1,0.25,6,0.42
2351,Primidone,CID677927,DB36248,Nirmatrelvir; Ritonavir,CID290184,DB98710,186,Low,No,0.04,0,0.24,8,0.41
2352,Thyroid,CID720133,DB14564,Ciprofloxacin; Dexamethasone,CID132467,DB62474,538,High,No,0.9,0,0.71,4,0.37
2353,Mesalamine,CID394636,DB60056,Lisinopril,CID682976,DB60756,754,High,No,0.27,0,0.53,4,0.67
2354,Dutasteride,CID486709,DB12658,Penicillin V,CID799917,DB49879,671,High,No,0.42,0,0.94,2,0.49
